Country;name;Admin1;SubDiv;Year;Updates
2040;Barbados;;;1963;
2040;Barbados;;;1964;
2040;Barbados;;;1965;
2040;Barbados;;;1966;
2040;Barbados;;;1967;
2040;Barbados;;;1968;
2040;Barbados;;;1969;
2040;Barbados;;;1970;
2040;Barbados;;;1971;
2040;Barbados;;;1972;
2040;Barbados;;;1973;
2040;Barbados;;;1974;
2040;Barbados;;;1975;
2040;Barbados;;;1976;
2040;Barbados;;;1977;
2040;Barbados;;;1978;
2040;Barbados;;;1979;
2040;Barbados;;;1980;
2040;Barbados;;;1981;
2040;Barbados;;;1982;
2040;Barbados;;;1983;
2040;Barbados;;;1984;
2040;Barbados;;;1985;
2040;Barbados;;;1986;
2040;Barbados;;;1987;
2040;Barbados;;;1988;
2040;Barbados;;;1989;
2040;Barbados;;;1990;
2040;Barbados;;;1991;
2040;Barbados;;;1992;
2040;Barbados;;;1993;
2040;Barbados;;;1994;
2040;Barbados;;;1995;
4018;Belarus;;;1981;
4018;Belarus;;;1982;
4018;Belarus;;;1983;
4018;Belarus;;;1985;
4018;Belarus;;;1986;
4018;Belarus;;;1987;
4018;Belarus;;;1988;
4018;Belarus;;;1989;
4018;Belarus;;;1990;
4018;Belarus;;;1991;
4018;Belarus;;;1992;
4018;Belarus;;;1993;
4018;Belarus;;;1994;
4018;Belarus;;;1995;
4018;Belarus;;;1996;
4018;Belarus;;;1997;
4018;Belarus;;;1998;
4018;Belarus;;;1999;
4018;Belarus;;;2000;
4018;Belarus;;;2001;
4018;Belarus;;;2002;
4018;Belarus;;;2003;
4018;Belarus;;;2004;
4018;Belarus;;;2005;
4018;Belarus;;;2006;
4018;Belarus;;;2007;
4018;Belarus;;;2008;
4018;Belarus;;;2009;
4018;Belarus;;;2010;
4018;Belarus;;;2011;
4018;Belarus;;;2012;
4018;Belarus;;;2013;
4018;Belarus;;;2014;
4018;Belarus;;;2015;
4018;Belarus;;;2018;
4020;Belgium;;;1950;
4020;Belgium;;;1951;
4020;Belgium;;;1952;
4020;Belgium;;;1953;
4020;Belgium;;;1954;
4020;Belgium;;;1955;
4020;Belgium;;;1956;
4020;Belgium;;;1957;
4020;Belgium;;;1958;
4020;Belgium;;;1959;
4020;Belgium;;;1960;
4020;Belgium;;;1961;
4020;Belgium;;;1962;
4020;Belgium;;;1963;
4020;Belgium;;;1964;
4020;Belgium;;;1965;
4020;Belgium;;;1966;
4020;Belgium;;;1967;
4020;Belgium;;;1968;
4020;Belgium;;;1969;
4020;Belgium;;;1970;
4020;Belgium;;;1971;
4020;Belgium;;;1972;
4020;Belgium;;;1973;
4020;Belgium;;;1974;
4020;Belgium;;;1975;
4020;Belgium;;;1976;
4020;Belgium;;;1977;
4020;Belgium;;;1978;
4020;Belgium;;;1979;
4020;Belgium;;;1980;
4020;Belgium;;;1981;
4020;Belgium;;;1982;
4020;Belgium;;;1983;
4020;Belgium;;;1984;
4020;Belgium;;;1985;
4020;Belgium;;;1986;
4020;Belgium;;;1987;
4020;Belgium;;;1988;
4020;Belgium;;;1989;
4020;Belgium;;;1990;
4020;Belgium;;;1991;
4020;Belgium;;;1992;
4020;Belgium;;;1993;
4020;Belgium;;;1994;
4020;Belgium;;;1995;
4020;Belgium;;;1996;
4020;Belgium;;;1997;
4020;Belgium;;;1998;
4020;Belgium;;;1999;
4020;Belgium;;;2000;
4020;Belgium;;;2001;
4020;Belgium;;;2002;
4020;Belgium;;;2003;
4020;Belgium;;;2004;
4020;Belgium;;;2005;
4020;Belgium;;;2006;
4020;Belgium;;;2007;
4020;Belgium;;;2008;
4020;Belgium;;;2009;
4020;Belgium;;;2010;
4020;Belgium;;;2011;
4020;Belgium;;;2012;
4020;Belgium;;;2013;
4020;Belgium;;;2014;
4020;Belgium;;;2015;
4020;Belgium;;;2016;
4020;Belgium;;;2017;
4020;Belgium;;;2018;
4020;Belgium;;;2019;
4020;Belgium;;;2020;
2045;Belize;;;1960;
2045;Belize;;;1961;
2045;Belize;;;1962;
2045;Belize;;;1963;
2045;Belize;;;1964;
2045;Belize;;;1965;
2045;Belize;;;1966;
2045;Belize;;;1967;
2045;Belize;;;1968;
2045;Belize;;;1969;
2045;Belize;;;1970;
2045;Belize;;;1971;
2045;Belize;;;1972;
2045;Belize;;;1973;
2045;Belize;;;1974;
2045;Belize;;;1975;
2045;Belize;;;1976;
2045;Belize;;;1977;
2045;Belize;;;1978;
2045;Belize;;;1979;
2045;Belize;;;1980;
2045;Belize;;;1981;
2045;Belize;;;1982;
2045;Belize;;;1983;
2045;Belize;;;1984;
2045;Belize;;;1986;
2045;Belize;;;1990;
2045;Belize;;;1991;
2045;Belize;;;1993;
2045;Belize;;;1995;
2050;Bermuda;;;1966;
2050;Bermuda;;;1967;
2050;Bermuda;;;1968;
2050;Bermuda;;;1969;
2050;Bermuda;;;1970;
2050;Bermuda;;;1971;
2050;Bermuda;;;1972;
2050;Bermuda;;;1973;
2050;Bermuda;;;1974;
2050;Bermuda;;;1975;
2050;Bermuda;;;1976;
2050;Bermuda;;;1977;
2050;Bermuda;;;1978;
2050;Bermuda;;;1979;
2050;Bermuda;;;1980;
2050;Bermuda;;;1981;
2050;Bermuda;;;1982;
2050;Bermuda;;;1983;
2060;Bolivia;;;1979;
2060;Bolivia;;;1980;
